ISO_A3,year,total_vol,total_fp,building_height,total_surface_area
TJK,2010,47344318725.0,9211383165.0,5.139762170017167,9213356339.248152
TJK,2015,51142983915.0,10112833245.0,5.057235957122717,10114867519.857376
TJK,2020,53419827105.0,10883720250.0,4.908232284360672,10885768456.708403
TJK,2025,54986007495.0,11394527055.0,4.82565070314803,11396587514.233206
TJK,2030,56047491225.0,11730658680.0,4.777863950688232,11732728606.715033
TKL,1975,0.0,0.0,0.0,0.0
TKL,1980,0.0,0.0,0.0,0.0
TKL,1985,0.0,0.0,0.0,0.0
TKL,1990,0.0,0.0,0.0,0.0
TKL,1995,0.0,0.0,0.0,0.0
TKL,2000,0.0,0.0,0.0,0.0
TKL,2005,0.0,0.0,0.0,0.0
TKL,2010,0.0,0.0,0.0,0.0
TKL,2015,0.0,0.0,0.0,0.0
TKL,2020,0.0,0.0,0.0,0.0
TKL,2025,0.0,0.0,0.0,0.0
TKL,2030,0.0,0.0,0.0,0.0
TKM,1975,22255589685.0,4530692295.0,4.912183003370349,4532014859.353856
TKM,1980,24927043605.0,5131801185.0,4.857367366035245,5133193045.95937
TKM,1985,28437031725.0,5951026305.0,4.778508826470395,5952500817.025568
TKM,1990,32449078395.0,6912779910.0,4.694070810508417,6914341028.940872
