,Countries,Year,total_CE,cement_CS,energy_consumption,Population,GDP,cement_production,built_surface,total_CE/energy_consumption,energy_consumption/GDP,GDP/Population,built_surface/Population,cement_CS/built_surface,CFP
53,Bangladesh,1990,12.8,0.27198676,0.27,1.07147651,0.031598340778,0.337,1446298368.0,47.407407407407405,8.544752457001938,0.02949046524407707,1349818082.339481,1.880571575117756e-10,47.061114298357765
54,Bangladesh,1995,18.2,0.478618673,0.39,1.17793338,0.037939748769,0.28,1632605184.0,46.666666666666664,10.27945657665143,0.03220873897724165,1385991102.48493,2.931625341451813e-10,38.026096821341525
55,Bangladesh,2000,23.5,1.269719728,0.49,1.29193327,0.053369787319,0.98,1853854464.0,47.95918367346939,9.18122452074222,0.04131001852673088,1434945989.1221783,6.849079863908886e-10,18.508021480469584
56,Bangladesh,2005,36.4,2.931650642,0.68,1.4091259,0.06947600143,5.1,2056726912.0,53.52941176470588,9.787552334673848,0.04930432506421179,1459576402.647911,1.4253961597406277e-09,12.416213405007756
57,Bangladesh,2010,50.5,4.797550673,0.9,1.48391139,0.115276,13.77,2306487296.0,56.11111111111111,7.80734931815816,0.0776838838065661,1554329531.7653704,2.0800247550984128e-09,10.526204607740263
58,Bangladesh,2015,84.2,8.044988681,1.39,1.5783,0.195147,28.0,2583677184.0,60.57553956834533,7.122835605979082,0.12364379395552175,1637000053.2218208,3.1137747125764763e-09,10.466142755285253
59,Bangladesh,2020,102.4,5.973292122,1.65,1.67420951,0.373979,31.4,2866089728.0,62.06060606060607,4.412012439201131,0.22337646379753273,1711906252.4020665,2.0841260005381102e-09,17.142975415994563
60,Belarus,1975,1e-10,0.485639813,1e-10,0.09367,1e-22,2.674384177,768876928.0,1.0,1000000000000.0,1.0675776662752215e-21,8208358364.471015,6.316222991152102e-10,2.0591392493596898e-10
61,Belarus,1980,1e-10,0.51326241,1e-10,0.09643,1e-22,2.744345091,820673536.0,1.0,1000000000000.0,1.0370216737529815e-21,8510562439.074977,6.254160606928599e-10,1.9483211326541528e-10
62,Belarus,1985,89.6,0.536950356,1.47,0.09975,1e-22,2.8636644419999997,873409472.0,60.95238095238095,1.4699999999999999e+22,1.0025062656641603e-21,8755984681.70426,6.14775054786674e-10,166.8683128687599
63,Belarus,1990,92.6,0.564999476,1.68,0.10189348,1e-22,3.010873213,926935488.0,55.11904761904762,1.6799999999999998e+22,9.814170641732917e-22,9097103053.109974,6.095348417602068e-10,163.893957310502
64,Belarus,1995,55.2,0.347826275,0.9,0.10193831,0.013970425777,1.235,1016137280.0,61.333333333333336,64.42180176653609,0.1370478456725445,9968158977.718975,3.4230244460669726e-10,158.69991420285888
65,Belarus,2000,52.7,0.389922024,0.92,0.0997961,0.012736780455,1.8,1110866816.0,57.28260869565217,72.23175458275574,0.12762803811972614,11131365013.262041,3.5100699596377177e-10,135.15522785653167
