Countries,Years,grad(cement_CS/built_surface),grad(cement_CS),CS_tapio_elasticity
Iran,1985 - 1990,0.12286747103286957,0.1840279171340143,0.6676566954968796
Iran,1990 - 1995,0.15008943821233528,0.292154415,0.5137332537339343
Iran,1995 - 2000,-0.002797407,0.11536728369260231,-0.024247839
Iran,2000 - 2005,0.4869396543649801,0.6671699884179783,0.7298584510967467
Iran,2005 - 2010,0.4467518427715001,0.613711839,0.7279505049179754
Iran,2010 - 2015,-0.116908853,-0.02869391,4.074343821
Iran,2015 - 2020,-0.001824459,0.062191483155346984,-0.02933616
Iraq,1975 - 1980,1.4740265687149052,1.6637658506132904,0.8859579418411285
Iraq,1980 - 1985,0.4298986809042107,0.5337404212011734,0.8054452385988142
Iraq,1985 - 1990,0.5106272808481491,0.6145281923973404,0.8309257201954191
Iraq,1990 - 1995,0.24958040329421854,0.3496424926900283,0.7138159935139271
Iraq,1995 - 2000,-0.761313137,-0.742863496,1.0248358429462519
Iraq,2000 - 2005,0.10473873063120515,0.22587931817704582,0.46369331852290335
Iraq,2005 - 2010,0.6342199722454565,0.806643046,0.786246128
Iraq,2010 - 2015,0.1645444141594038,0.2735715010419247,0.6014676731045441
Iraq,2015 - 2020,1.1570972172929999,1.304866862081894,0.8867550023048865
Ireland,1975 - 1980,0.25045356864870927,0.3684338580791122,0.679778916
Ireland,1980 - 1985,-0.291328514,-0.229026054,1.2720321949449003
Ireland,1985 - 1990,0.059320071,0.1464078476782151,0.4051700249835438
Ireland,1990 - 1995,0.017295489464076157,0.082620038,0.20933770769266008
Ireland,1995 - 2000,0.7156491967281312,0.8264649349547671,0.8659159831957046
Ireland,2000 - 2005,0.1189856877337188,0.20193373555148733,0.5892313506149192
Ireland,2005 - 2010,-0.285883996,-0.233890989,1.222295896523798
Ireland,2010 - 2015,0.045948753,0.1128783364225076,0.4070644094527307
Ireland,2015 - 2020,-0.168676528,-0.136189328,1.2385443867097854
Israel,1975 - 1980,-0.040778421,-0.000953372,42.77281354783358
Israel,1980 - 1985,0.1109534904158548,0.15572131088548308,0.7125132057066332
Israel,1985 - 1990,0.23046792468064448,0.2786501388520688,0.8270870620416108
Israel,1990 - 1995,0.12319141986416891,0.29977788976011577,0.4109423145340955
Israel,1995 - 2000,0.5761092117257067,0.8071694859953795,0.7137400777920445
Israel,2000 - 2005,-0.308572358,-0.248902753,1.239730594672369
Israel,2005 - 2010,0.064357511,0.1527939568840105,0.42120455896549613
Israel,2010 - 2015,0.4986202798984898,0.6097500552585606,0.817745362
Israel,2015 - 2020,-0.203541641,-0.162363104,1.2536200366186978
Italy,1975 - 1980,0.13477449459263743,0.20727811849407102,0.6502109126221759
Italy,1980 - 1985,-0.086402661,-0.03060468,2.8231845560016753
Italy,1985 - 1990,-0.107597787,-0.055499458,1.9387177970742682
Italy,1990 - 1995,-0.077373399,0.005105135,-15.15599472
Italy,1995 - 2000,-0.02920082,0.054228304,-0.538479319
Italy,2000 - 2005,0.13506650180023266,0.20641131652007963,0.6543560889845564
Italy,2005 - 2010,-0.212021558,-0.163355938,1.2979115434706545
Italy,2010 - 2015,-0.275190283,-0.235889497,1.1666067648335299
Italy,2015 - 2020,-0.043878354,-0.013162351,3.3336258377764723
Japan,1975 - 1980,0.40335360971943013,0.45154886740529276,0.8932667953242712
Japan,1980 - 1985,0.051479214,0.087198917,0.5903652903485569
Japan,1985 - 1990,0.20206161304205747,0.24259131279292498,0.8329301272817485
Japan,1990 - 1995,0.12488102346735273,0.21713847205389905,0.5751215907808094
Japan,1995 - 2000,0.078696893,0.1646920902994819,0.47784257911703243
Japan,2000 - 2005,0.004473618,0.059248974276955656,0.0755054
Japan,2005 - 2010,-0.166154695,-0.12190107,1.3630290043656308
Japan,2010 - 2015,-0.061471267,-0.016342999,3.7613211194408973
Japan,2015 - 2020,-0.120535253,-0.090042877,1.3386428401956147
Kazakhstan,1975 - 1980,-0.045371431,0.056878774749225744,-0.797686501
Kazakhstan,1980 - 1985,-0.064357416,0.046151725,-1.394474764
Kazakhstan,1985 - 1990,-0.05978952,0.052237827,-1.144563688
Kazakhstan,1990 - 1995,-0.581945333,-0.534776188,1.088203525887371
Kazakhstan,1995 - 2000,-0.234738815,-0.148781308,1.577744000235506
Kazakhstan,2000 - 2005,0.7269963706349999,0.871344384,0.8343387340728763
Kazakhstan,2005 - 2010,0.1730751127125598,0.27544750125297895,0.6283415602801298
Kazakhstan,2010 - 2015,0.18815123037767337,0.2872061863697034,0.6551085572212484
Kazakhstan,2015 - 2020,0.049513323951574005,0.11760836478045732,0.42100172078747844
Kuwait,1980 - 1985,0.8018037262337021,0.8997488219005806,0.891141735
Kuwait,1985 - 1990,-0.214344377,-0.167664272,1.2784141490933076
Kuwait,1990 - 1995,0.8170998899651166,0.9140400824072192,0.8939431713029471
Kuwait,1995 - 2000,0.9922149962925362,1.1374738598797844,0.8722969654857825
Kuwait,2000 - 2005,-0.147581938,-0.12976711,1.1372830828701814
Kuwait,2005 - 2010,0.2638936507767861,0.2966604615213868,0.8895477658985625
Kuwait,2010 - 2015,0.10813151484612453,0.15924277016793126,0.6790356305161812
Kuwait,2015 - 2020,0.5122297276792148,0.6857747605517697,0.7469358120836619
Latvia,1975 - 1980,-0.016562883,0.056878774622954154,-0.291196192
Latvia,1980 - 1985,-0.022857655,0.046151728,-0.495271913
Latvia,1985 - 1990,-0.013798322,0.052237818,-0.264144304
Latvia,1990 - 1995,-0.4671603,-0.441683568,1.0576809593192151
Latvia,1995 - 2005,0.15039732426284147,0.24396281287955854,0.6164764313366513
Latvia,2005 - 2010,0.54190931,0.5934508181641743,0.9131494869837845
Latvia,2010 - 2015,0.5872988781418822,0.6383645229100748,0.9200055094925973
Latvia,2015 - 2020,-0.464718599,-0.448404143,1.0363833744620212
Lithuania,1975 - 1980,-0.011674522,0.056878773,-0.205252704
Lithuania,1980 - 1985,-0.018596329,0.046151725,-0.402938991
Lithuania,1985 - 1990,-0.009996748,0.052237829,-0.191369898
Lithuania,1990 - 1995,-0.544166714,-0.512460943,1.0618696335245552
Lithuania,1995 - 2000,-0.146565078,-0.088739537,1.6516322185789376
Lithuania,2000 - 2005,0.20120486837348356,0.26290191428571713,0.7653229491315825
Lithuania,2005 - 2010,0.098934224,0.15459518291831892,0.6399567042364322
Lithuania,2010 - 2015,-0.045927548,-2.22E-05,2070.0844119260432
